Current_A,Voltage_V,Temperature_C,SOC_percent,Mask
-7.5,387.0,28.0,75.5,1
-7.5,387.0,28.0,75.5,0
-7.49,387.0,28.0,75.5,0
-7.39,387.0,28.0,75.5,0
-7.31,387.0,28.0,75.5,0
-7.36,387.0,28.0,75.5,0
-7.39,387.0,28.0,75.5,0
-7.29,387.0,28.0,75.5,0
-7.19,387.0,28.0,75.5,0
-7.14,387.0,28.0,75.5,0
-7.08,387.0,28.0,75.5,0
-6.88,387.0,28.0,75.5,0
-6.68,387.0,28.0,75.5,0
-6.53,387.0,28.0,75.5,0
-6.39,387.01,28.0,75.5,0
-6.34,387.06,28.0,75.5,0
-6.29,387.1,28.0,75.5,0
-6.24,387.1,28.0,75.5,0
-6.2,387.1,28.0,75.5,0
-6.2,387.1,28.0,75.5,0
-6.19,387.1,28.0,75.5,0
-6.14,387.1,28.0,75.5,0
-6.11,387.1,28.0,75.5,0
-6.21,387.1,28.0,75.5,0
-6.31,387.1,28.0,75.5,0
-6.41,387.1,28.0,75.5,0
-6.52,387.09,28.0,75.5,0
-6.67,387.04,28.0,75.5,0
-6.81,387.0,28.0,75.5,0
-6.91,387.0,28.0,75.5,0
-7.01,387.0,28.0,75.5,0
-7.06,387.0,28.0,75.5,0
-7.1,387.0,28.0,75.5,0
-7.1,387.0,28.0,75.5,0
-7.09,387.0,28.0,75.5,0
-7.04,387.0,28.0,75.5,0
-6.99,387.0,28.0,75.5,0
-6.89,387.0,28.0,75.5,0
-6.8,387.0,28.0,75.5,0
-6.8,387.0,28.0,75.5,0
-6.79,387.0,28.0,75.5,0
-6.74,387.0,28.0,75.5,0
-6.71,387.0,28.0,75.5,0
-6.76,387.0,28.0,75.5,0
-6.8,387.0,28.0,75.5,0
-6.8,387.0,28.0,75.5,0
-6.81,387.0,28.0,75.5,0
-6.86,387.0,28.0,75.5,0
-6.91,387.0,28.0,75.5,0
-6.96,387.0,28.0,75.5,0
-7.01,387.0,28.0,75.5,0
-7.06,387.0,28.0,75.5,0
-7.12,387.0,28.0,75.5,0
-7.27,387.0,28.0,75.5,0
-7.42,386.99,28.0,75.5,0
-7.62,386.94,28.0,75.5,0
-7.81,386.9,28.0,75.5,0
-7.86,386.9,28.0,75.5,0
-7.92,386.9,28.0,75.5,0
-8.12,386.9,28.0,75.5,0
-8.3,386.9,28.0,75.5,0
-8.3,386.9,28.0,75.5,0
-8.29,386.9,28.0,75.5,0
-8.19,386.9,28.0,75.5,0
-8.11,386.9,28.0,75.5,0
-8.16,386.9,28.0,75.5,0
-8.2,386.9,28.0,75.5,0
-8.2,386.9,28.0,75.5,0
-8.19,386.9,28.0,75.5,0
-8.14,386.9,28.0,75.5,0
-8.09,386.9,28.0,75.5,0
-8.04,386.9,28.0,75.5,0
-7.97,386.9,28.0,75.5,0
-7.67,386.9,28.0,75.5,0
-7.39,386.91,28.0,75.5,0
-7.29,386.96,28.0,75.5,0
-7.19,387.0,28.0,75.5,0
-7.14,387.0,28.0,75.5,0
-7.09,387.0,28.0,75.5,0
-7.04,387.0,28.0,75.5,0
-6.98,387.0,28.0,75.5,0
-6.78,387.0,28.0,75.5,0
-6.61,387.0,28.0,75.5,0
-6.71,387.0,28.0,75.5,0
-6.81,387.0,28.0,75.5,0
-6.86,387.0,28.0,75.5,0
-6.92,386.99,28.0,75.5,0
-7.07,386.94,28.0,75.5,0
-7.24,386.9,28.0,75.5,0
-7.64,386.9,28.0,75.5,0
-8.03,386.9,28.0,75.5,0
-8.33,386.9,28.0,75.5,0
-8.62,386.89,28.0,75.5,0
-8.82,386.84,28.0,75.5,0
-9.02,386.8,28.0,75.5,0
-9.22,386.8,28.0,75.5,0
-9.43,386.8,28.0,75.5,0
-9.68,386.8,28.0,75.5,0
-9.92,386.79,28.0,75.5,0
-10.07,386.74,28.0,75.5,0
-10.22,386.7,28.0,75.5,0
-10.37,386.7,28.0,75.5,0
-10.47,386.7,28.0,75.5,0
-10.17,386.7,28.0,75.5,0
-9.71,386.71,28.0,75.5,0
-8.01,386.81,28.0,75.5,0
-6.47,386.91,28.0,75.5,0
-6.17,386.96,28.0,75.5,0
-5.89,387.0,28.0,75.5,0
-5.84,387.0,28.0,75.5,0
-5.81,387.0,28.0,75.5,0
-5.86,387.0,28.0,75.5,0
-5.91,387.0,28.0,75.5,0
-6.01,387.0,28.0,75.5,0
-6.09,387.0,28.0,75.5,0
-6.04,387.0,28.0,75.5,0
-6.01,387.0,28.0,75.5,0
-6.11,387.0,28.0,75.5,0
-6.2,387.0,28.0,75.5,0
-6.2,387.0,28.0,75.5,0
-6.19,387.0,28.0,75.5,0
-6.09,387.0,28.0,75.5,0
-5.99,387.0,28.0,75.5,0
-5.94,387.0,28.0,75.5,0
-5.9,387.0,28.0,75.5,0
-5.9,387.0,28.0,75.5,0
-5.92,387.0,28.0,75.5,0
-6.07,387.0,28.0,75.5,0
-6.2,387.0,28.0,75.5,0
-6.2,387.0,28.0,75.5,0
-6.2,387.0,28.0,75.5,0
-6.2,387.0,28.0,75.5,0
-6.2,387.0,28.0,75.5,0
-6.2,387.0,28.0,75.5,0
-6.19,387.0,28.0,75.5,0
-6.09,387.0,28.0,75.5,0
-6.01,387.0,28.0,75.5,0
-6.11,387.0,28.0,75.5,0
-6.22,387.0,28.0,75.5,0
-6.37,387.0,28.0,75.5,0
-6.5,387.0,28.0,75.5,0
-6.5,387.0,28.0,75.5,0
-6.55,386.99,28.0,75.5,0
-6.94,386.94,28.0,75.5,0
-7.37,386.89,28.0,75.5,0
-8.02,386.84,28.0,75.5,0
-8.66,386.8,28.0,75.5,0
-9.16,386.8,28.0,75.5,0
-9.65,386.79,28.0,75.5,0
-10.05,386.74,28.0,75.5,0
-10.44,386.7,28.0,75.5,0
-10.79,386.7,28.0,75.5,0
-11.12,386.69,28.0,75.5,0
-11.27,386.64,28.0,75.5,0
-11.42,386.6,28.0,75.5,0
-11.62,386.6,28.0,75.5,0
-11.83,386.6,28.0,75.5,0
-12.13,386.6,28.0,75.5,0
-12.42,386.59,28.0,75.5,0
-12.57,386.54,28.0,75.5,0
-12.67,386.51,28.0,75.5,0
-12.42,386.56,28.0,75.5,0
-12.09,386.6,28.0,75.5,0
-11.14,386.6,28.0,75.5,0
-10.23,386.61,28.0,75.5,0
-9.58,386.66,28.0,75.5,0
-8.95,386.71,28.0,75.5,0
-8.55,386.76,28.0,75.5,0
-8.19,386.8,28.0,75.5,0
-8.14,386.8,28.0,75.5,0
-8.13,386.8,28.0,75.5,0
-8.43,386.8,28.0,75.5,0
-8.79,386.79,28.0,75.5,0
-9.59,386.74,28.0,75.5,0
-10.46,386.69,28.0,75.5,0
-11.91,386.59,28.0,75.5,0
-13.24,386.49,28.0,75.5,0
-13.59,386.44,28.0,75.5,0
-13.9,386.4,28.0,75.5,0
-13.9,386.4,28.0,75.5,0
-13.89,386.4,28.0,75.5,0
-13.84,386.4,28.0,75.5,0
-13.79,386.4,28.0,75.5,0
-13.69,386.4,28.0,75.5,0
-13.57,386.4,28.0,75.5,0
-13.27,386.4,28.0,75.5,0
-12.97,386.41,28.0,75.5,0
-12.67,386.46,28.0,75.5,0
-12.34,386.5,28.0,75.5,0
-11.84,386.5,28.0,75.5,0
-11.38,386.51,28.0,75.5,0
-11.23,386.56,28.0,75.5,0
-11.07,386.6,28.0,75.5,0
-10.82,386.6,28.0,75.5,0
-10.58,386.6,28.0,75.5,0
-10.43,386.6,28.0,75.5,0
-10.27,386.61,28.0,75.5,0
-10.02,386.66,28.0,75.5,0
-9.77,386.7,28.0,75.5,0
-9.47,386.7,28.0,75.5,0
-9.18,386.7,28.0,75.5,0
-8.98,386.7,28.0,75.5,0
-8.75,386.7,28.0,75.5,0
-8.3,386.7,28.0,75.5,0
-7.88,386.71,28.0,75.5,0
-7.68,386.76,28.0,75.5,0
-7.4,386.81,28.0,75.5,0
-6.5,386.86,28.0,75.5,0
-5.62,386.91,28.0,75.5,0
-4.87,386.96,28.0,75.5,0
-3.98,387.01,28.0,75.5,0
-2.03,387.11,28.0,75.5,0
-0.08,387.22,28.0,75.5,0
1.82,387.37,28.0,75.5,0
3.63,387.51,28.0,75.5,0
4.78,387.56,28.0,75.5,0
5.87,387.61,28.0,75.5,0
6.47,387.71,28.0,75.5,0
6.92,387.79,28.0,75.5,0
6.22,387.74,28.0,75.5,0
5.5,387.69,28.0,75.5,0
4.6,387.64,28.0,75.5,0
3.69,387.59,28.0,75.5,0
2.69,387.54,28.0,75.5,0
1.62,387.49,28.0,75.5,0
0.07,387.39,28.0,75.5,0
-1.41,387.29,28.0,75.5,0
-2.41,387.24,28.0,75.5,0
-3.39,387.19,28.0,75.5,0
-4.19,387.09,28.0,75.5,0
-4.92,387.0,28.0,75.5,0
-5.12,387.0,28.0,75.5,0
-5.31,387.0,28.0,75.5,0
-5.41,387.0,28.0,75.5,0
-5.51,387.0,28.0,75.5,0
-5.61,387.0,28.0,75.5,0
-5.69,387.0,28.0,75.5,0
-5.64,387.0,28.0,75.49,0
-5.61,387.0,28.0,75.44,0
-5.71,387.0,28.0,75.4,0
-5.79,387.0,28.0,75.4,0
-5.69,387.0,28.0,75.4,0
-5.59,387.0,28.0,75.4,0
-5.54,387.0,28.0,75.4,0
-5.51,387.0,28.0,75.4,0
-5.61,387.0,28.0,75.4,0
-5.71,387.0,28.0,75.4,0
-5.81,387.0,28.0,75.4,0
-6.16,386.98,28.0,75.4,0
-8.46,386.83,28.0,75.4,0
-11.02,386.67,28.0,75.4,0
-15.57,386.37,28.0,75.4,0
-19.75,386.09,28.0,75.4,0
-21.1,385.99,28.0,75.4,0
-22.4,385.89,28.0,75.4,0
-23.3,385.84,28.0,75.4,0
-24.15,385.79,28.0,75.4,0
-24.55,385.74,28.0,75.4,0
-24.75,385.71,28.0,75.4,0
-23.4,385.76,28.0,75.4,0
-21.97,385.81,28.0,75.4,0
-19.97,385.91,28.0,75.4,0
-18.2,386.01,28.0,75.4,0
-18.2,386.06,28.0,75.4,0
-18.14,386.1,28.0,75.4,0
-17.64,386.1,28.0,75.4,0
-17.22,386.1,28.0,75.4,0
-17.42,386.1,28.0,75.4,0
-17.84,386.08,28.0,75.4,0
-19.94,385.93,28.0,75.4,0
-21.91,385.79,28.0,75.4,0
-22.86,385.74,28.0,75.4,0
-23.98,385.68,28.0,75.4,0
-26.48,385.53,28.0,75.4,0
-28.82,385.39,28.0,75.4,0
-29.87,385.29,28.0,75.4,0
-30.91,385.19,28.0,75.4,0
-31.86,385.14,28.0,75.4,0
-32.85,385.09,28.0,75.4,0
-34.2,384.99,28.0,75.4,0
-35.48,384.89,28.0,75.4,0
-36.18,384.79,28.0,75.4,0
-36.87,384.69,28.0,75.4,0
-37.52,384.64,28.0,75.4,0
-38.15,384.6,28.0,75.4,0
-38.55,384.6,28.0,75.4,0
-38.93,384.59,28.0,75.4,0
-39.23,384.54,28.0,75.4,0
-39.02,384.52,28.0,75.4,0
-34.82,384.72,28.0,75.4,0
-29.96,384.97,28.0,75.4,0
-19.96,385.57,28.0,75.4,0
-10.35,386.16,28.0,75.4,0
-3.8,386.66,28.0,75.4,0
1.95,387.1,28.0,75.4,0
1.5,387.1,28.0,75.4,0
1.27,387.11,28.0,75.4,0
2.77,387.21,28.0,75.4,0
4.2,387.31,28.0,75.4,0
5.1,387.41,28.0,75.4,0
5.98,387.51,28.0,75.4,0
6.68,387.56,28.0,75.4,0
7.37,387.61,28.0,75.4,0
7.97,387.66,28.0,75.4,0
8.47,387.69,28.0,75.4,0
8.22,387.64,28.0,75.4,0
8.01,387.61,28.0,75.4,0
8.11,387.66,28.0,75.4,0
8.18,387.7,28.0,75.4,0
8.03,387.7,28.0,75.4,0
7.82,387.69,28.0,75.4,0
7.12,387.64,28.0,75.4,0
6.39,387.59,28.0,75.4,0
5.39,387.54,28.0,75.4,0
4.38,387.49,28.0,75.4,0
3.33,387.44,28.0,75.4,0
2.29,387.39,28.0,75.4,0
1.29,387.34,28.0,75.4,0
0.29,387.29,28.0,75.4,0
-0.65,387.19,28.0,75.4,0
-1.6,387.1,28.0,75.4,0
-2.65,387.05,28.0,75.4,0
-3.66,387.0,28.0,75.4,0
-4.31,386.95,28.0,75.4,0
-4.94,386.9,28.0,75.4,0
-5.34,386.9,28.0,75.4,0
-5.75,386.9,28.0,75.4,0
-6.3,386.85,28.0,75.4,0
-6.91,386.79,28.0,75.4,0
-8.06,386.69,28.0,75.4,0
-9.18,386.6,28.0,75.4,0
-9.98,386.55,28.0,75.4,0
-10.77,386.5,28.0,75.4,0
-11.47,386.45,28.0,75.4,0
-12.15,386.4,28.0,75.4,0
-12.65,386.35,28.0,75.4,0
-13.13,386.3,28.0,75.4,0
-13.48,386.3,28.0,75.4,0
-13.67,386.3,28.0,75.4,0
-12.32,386.35,28.0,75.4,0
-10.84,386.42,28.0,75.4,0
-8.19,386.62,28.0,75.4,0
-5.78,386.8,28.0,75.4,0
-5.53,386.8,28.0,75.4,0
-5.28,386.8,28.0,75.4,0
-5.08,386.85,28.0,75.4,0
-4.89,386.9,28.0,75.4,0
-4.79,386.9,28.0,75.4,0
-4.7,386.9,28.0,75.4,0
-4.65,386.9,28.0,75.4,0
-4.61,386.9,28.0,75.4,0
-4.76,386.9,28.0,75.4,0
-4.93,386.9,28.0,75.4,0
-5.23,386.85,28.0,75.4,0
-5.53,386.8,28.0,75.4,0
-5.88,386.8,28.0,75.4,0
-6.21,386.8,28.0,75.4,0
-6.36,386.8,28.0,75.4,0
-6.48,386.8,28.0,75.4,0
-6.23,386.8,28.0,75.4,0
-5.99,386.8,28.0,75.4,0
-5.89,386.8,28.0,75.4,0
-5.79,386.8,28.0,75.4,0
-5.64,386.8,28.0,75.4,0
-5.5,386.8,28.0,75.4,0
-5.5,386.8,28.0,75.4,0
-5.5,386.8,28.0,75.4,0
-5.5,386.8,28.0,75.4,0
-5.5,386.8,28.0,75.4,0
-5.55,386.8,28.0,75.4,0
-5.6,386.8,28.0,75.4,0
-5.55,386.8,28.0,75.4,0
-5.5,386.8,28.0,75.4,0
-5.55,386.8,28.0,75.4,0
-5.6,386.8,28.0,75.4,0
-5.6,386.8,28.0,75.4,0
-5.6,386.8,28.0,75.4,0
-5.6,386.8,28.0,75.4,0
-5.6,386.8,28.0,75.4,0
-5.55,386.8,28.0,75.4,0
-5.48,386.8,28.0,75.4,0
-5.28,386.85,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.05,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.05,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.05,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.05,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.05,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.05,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.09,386.9,28.0,75.4,0
-4.99,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.95,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-4.95,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.95,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-4.95,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.95,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-4.95,386.9,28.0,75.4,0
-4.91,386.9,28.0,75.4,0
-5.01,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.05,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-4.95,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.95,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.05,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.05,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-4.95,386.9,28.0,75.4,0
-4.91,386.9,28.0,75.4,0
-5.01,386.9,28.0,75.4,0
-5.1,386.9,28.0,75.4,0
-5.05,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-4.95,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.95,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-4.95,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.95,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-4.95,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.95,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
-4.95,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.9,386.9,28.0,75.4,0
-4.95,386.9,28.0,75.4,0
-5.0,386.9,28.0,75.4,0
