Current_A,Voltage_V,Temperature_C,SOC_percent,Mask
-18.5,386.6,3.0,82.8,1
-18.5,386.6,3.0,82.8,0
-18.47,386.6,3.0,82.8,0
-18.42,386.6,3.0,82.8,0
-18.34,386.6,3.0,82.8,0
-18.24,386.6,3.0,82.8,0
-18.11,386.63,3.0,82.8,0
-17.96,386.68,3.0,82.8,0
-17.96,386.7,3.0,82.8,0
-18.06,386.7,3.0,82.8,0
-17.98,386.7,3.0,82.8,0
-17.78,386.7,3.0,82.8,0
-17.76,386.7,3.0,82.8,0
-17.86,386.7,3.0,82.8,0
-17.81,386.7,3.0,82.8,0
-17.66,386.7,3.0,82.8,0
-17.63,386.7,3.0,82.8,0
-17.68,386.7,3.0,82.8,0
-17.7,386.7,3.0,82.8,0
-17.7,386.7,3.0,82.8,0
-17.61,386.7,3.0,82.8,0
-17.46,386.7,3.0,82.8,0
-17.52,386.7,3.0,82.8,0
-17.72,386.7,3.0,82.8,0
-17.56,386.73,3.0,82.8,0
-17.16,386.78,3.0,82.8,0
-17.09,386.8,3.0,82.8,0
-17.24,386.8,3.0,82.8,0
-17.27,386.8,3.0,82.8,0
-17.22,386.8,3.0,82.8,0
-17.08,386.8,3.0,82.8,0
-16.88,386.8,3.0,82.8,0
-16.95,386.8,3.0,82.8,0
-17.2,386.8,3.0,82.8,0
-17.09,386.8,3.0,82.8,0
-16.74,386.8,3.0,82.8,0
-16.69,386.8,3.0,82.8,0
-16.84,386.8,3.0,82.8,0
-16.93,386.8,3.0,82.8,0
-16.98,386.8,3.0,82.8,0
-16.82,386.8,3.0,82.8,0
-16.52,386.8,3.0,82.8,0
-16.64,386.8,3.0,82.8,0
-17.04,386.8,3.0,82.8,0
-16.99,386.8,3.0,82.8,0
-16.64,386.8,3.0,82.8,0
-16.62,386.8,3.0,82.77,0
-16.82,386.8,3.0,82.72,0
-16.87,386.8,3.0,82.7,0
-16.82,386.8,3.0,82.7,0
-16.5,386.8,3.0,82.7,0
-16.0,386.8,3.0,82.7,0
-16.07,386.8,3.0,82.7,0
-16.52,386.8,3.0,82.7,0
-16.46,386.8,3.0,82.7,0
-16.06,386.8,3.0,82.7,0
-16.11,386.83,3.0,82.7,0
-16.46,386.88,3.0,82.7,0
-16.42,386.87,3.0,82.7,0
-16.12,386.82,3.0,82.7,0
-16.03,386.8,3.0,82.7,0
-16.08,386.8,3.0,82.7,0
-16.25,386.8,3.0,82.7,0
-16.5,386.8,3.0,82.7,0
-16.27,386.8,3.0,82.7,0
-15.72,386.8,3.0,82.7,0
-15.86,386.8,3.0,82.7,0
-16.46,386.8,3.0,82.7,0
-16.67,386.8,3.0,82.7,0
-16.62,386.8,3.0,82.7,0
-16.6,386.8,3.0,82.7,0
-16.6,386.8,3.0,82.7,0
-16.66,386.8,3.0,82.7,0
-16.76,386.8,3.0,82.7,0
-16.59,386.77,3.0,82.7,0
-16.24,386.72,3.0,82.7,0
-16.28,386.73,3.0,82.7,0
-16.58,386.78,3.0,82.7,0
-16.64,386.77,3.0,82.7,0
-16.54,386.72,3.0,82.7,0
-16.41,386.73,3.0,82.7,0
-16.26,386.78,3.0,82.7,0
-16.26,386.8,3.0,82.7,0
-16.36,386.8,3.0,82.7,0
-16.1,386.77,3.0,82.7,0
-15.6,386.72,3.0,82.7,0
-15.7,386.73,3.0,82.7,0
-16.2,386.78,3.0,82.7,0
-16.25,386.77,3.0,82.7,0
-16.0,386.72,3.0,82.7,0
-16.02,386.7,3.0,82.7,0
-16.22,386.7,3.0,82.7,0
-16.42,386.7,3.0,82.7,0
-16.62,386.7,3.0,82.7,0
-16.44,386.7,3.0,82.7,0
-15.99,386.7,3.0,82.7,0
-16.03,386.73,3.0,82.7,0
-16.43,386.78,3.0,82.7,0
